% Model:              Sph.mph
% Version:            COMSOL 6.1.0.282
% Date:               Jan 27 2025, 17:23
% Dimension:          3
% Nodes:              8372
% Expressions:        3
% Description:        magnetization deviation, X component, magnetization deviation, Y component, magnetization deviation, Z component
% Length unit:        nm
% x                       y                        z                        dm2X (1) @ lambda=2E-9                            dm2Y (1) @ lambda=2E-9                            dm2Z (1) @ lambda=2E-9
3.000293610992062E-7      1.9935251523955147E-7    9.498036794069397E-8     0.031040446146150202+0.012113801533538669i        0.012113801533525294-0.0310404461461414i          0
2.513049005057544E-7      2.5052433527611585E-7    1.4868367641238273E-7    0.031040450134082322+0.012113803089863576i        0.01211380308985023-0.03104045013407369i          0
2.777578484165153E-7      2.14735266719463E-7      1.3495750597060009E-7    0.031040449299759566+0.01211380276426189i         0.01211380276424863-0.031040449299750708i         0
2.6631088083556997E-7     2.2957831877858616E-7    1.0879798159773895E-7    0.031040447000143447+0.012113801866816928i        0.012113801866803608-0.031040447000134645i        0
2.7286370478337256E-7     2.3643032560488454E-7    1.330232108212662E-7     0.03104044898883735+0.012113802642921804i         0.012113802642908542-0.03104044898882855i         0
2.7120502446871283E-7     2.0788325989316463E-7    1.1073227674707288E-7    0.031040447311066827+0.012113801988157376i        0.012113801988144084-0.031040447311058025i        0
2.4069573532787827E-7     1.990520025799512E-7     1.6838555159116629E-7    0.031040452057270643+0.012113803840404374i        0.012113803840391055-0.031040452057261785i        0
2.3895156219770046E-7     2.1814233928254937E-7    1.8124666101782382E-7    0.03104045300057545+0.012113804208537183i         0.01211380420852381-0.031040453000566702i         0
2.598343927381036E-7      1.9985473148009292E-7    1.4829471253038874E-7    0.031040450443929547+0.012113803210784122i        0.012113803210770775-0.031040450443920745i        0
2.532815687903011E-7      1.9300272465379456E-7    1.2406948330686148E-7    0.031040448455236083+0.012113802434679357i        0.012113802434666011-0.03104044845522728i         0
2.425088942694584E-7      2.4216130146768633E-7    1.7423752271148149E-7    0.031040452280156693+0.012113803927387524i        0.012113803927374179-0.031040452280147835i        0
2.1796022209855455E-7     3.075727193409776E-7     7.778455574516324E-8     0.03104044378953904+0.012113800613850905i         0.012113800613837558-0.03104044378953046i         0
2.3832619936214594E-7     2.8825939389177326E-7    9.261308623310936E-8     0.03104044520409081+0.012113801165891929i         0.012113801165878613-0.03104044520408212i         0
2.425605455353081E-7      2.4006951658912375E-7    9.693425265958125E-8     0.031040445876149125+0.012113801428168385i        0.012113801428155067-0.0310404458761401i          0
2.152001455930135E-7      3.012729228762737E-7     5.446566997946587E-8     0.031040441884428994+0.012113799870365274i        0.012113799870351955-0.03104044188442008i         0
2.6132836904317823E-7     2.721273658042143E-7     7.721942694643042E-8     0.031040444098175028+0.012113800734298744i        0.01211380073428537-0.03104044409816617i          0
2.612297491420218E-7      2.4660259234644863E-7    8.078934477802901E-8     0.03104044455321965+0.012113800911883806i         0.012113800911870377-0.031040444553210627i        0
